,event,name,date,bouts,link
387,UFC Fight Night 48,Bisping vs. Le,2014.08.23,10,/fightcenter/events/23028-ufc-fight-night
388,UFC Fight Night 47,Bader vs. St. Preux,2014.08.16,10,/fightcenter/events/24351-ufc-fight-night-47
392,UFC 176,,2014.08.02,0,/fightcenter/events/24065-ufc-176-aldo-vs-mendes-2
394,UFC on FOX 12,Lawler vs. Brown,2014.07.26,12,/fightcenter/events/23617-ufc-on-fox-12
397,UFC Fight Night 46,McGregor vs. Brandao,2014.07.19,10,/fightcenter/events/23131-ufc-fight-night
399,UFC Fight Night 45,Cerrone vs. Miller,2014.07.16,11,/fightcenter/events/23965-ufc-fight-night
404,UFC 175,Weidman vs. Machida,2014.07.05,10,/fightcenter/events/23324-ufc-175
405,UFC Fight Night 44,Swanson vs. Stephens,2014.06.28,11,/fightcenter/events/23349-ufc-fight-night
406,UFC Fight Night 43,Te Huna vs. Marquardt,2014.06.28,10,/fightcenter/events/23781-ufc-fight-night-45-te-huna-vs-marquardt
407,UFC 174,Johnson vs. Bagautinov,2014.06.14,11,/fightcenter/events/22389-ufc-174
408,UFC Fight Night 42,Henderson vs. Khabilov,2014.06.07,11,/fightcenter/events/23441-ufc-fight-night-henderson-vs-khabilov
409,UFC Fight Night,Miocic vs. Maldonado,2014.05.31,12,/fightcenter/events/22697-ufc-fight-night
410,UFC Fight Night 41,Munoz vs. Mousasi,2014.05.31,10,/fightcenter/events/23130-ufc-fight-night
411,UFC 173,Barao vs. Dillashaw,2014.05.24,12,/fightcenter/events/22469-ufc-173-weidman-vs-belfort
412,UFC Fight Night 40,Brown vs. Silva,2014.05.10,13,/fightcenter/events/22778-ufc-fight-night
413,UFC 172,Jones vs. Teixeira,2014.04.26,10,/fightcenter/events/21832-ufc-172-jones-vs-teixeira
414,UFC on FOX 11,Werdum vs. Browne,2014.04.19,13,/fightcenter/events/22127-ufc-on-fox-11
415,UFC Fight Night,Bisping vs. Kennedy,2014.04.16,13,/fightcenter/events/22061-tuf-nations-finale-canada-vs-australia
416,UFC Fight Night 39,Nogueira vs. Nelson,2014.04.11,8,/fightcenter/events/22403-ufc-fight-night-39-nogueira-vs-nelson
417,UFC Fight Night 38,Shogun vs. Henderson 2,2014.03.23,11,/fightcenter/events/22108-ufc-fight-night
418,UFC 171,Hendricks vs. Lawler,2014.03.15,13,/fightcenter/events/21513-ufc-171
419,UFC Fight Night 37,Gustafsson vs. Manuwa,2014.03.08,9,/fightcenter/events/21272-ufc-fight-night-gustafsson-vs-nogueira
420,UFC Fight Night,Kim vs. Hathaway,2014.03.01,8,/fightcenter/events/22007-the-ultimate-fighter-china-1-finale
421,UFC 170,Rousey vs. McMann,2014.02.22,11,/fightcenter/events/21249-ufc-170
422,UFC Fight Night 36,Machida vs. Mousasi,2014.02.15,12,/fightcenter/events/20593-ufc-fight-night
423,UFC 169,Barao vs. Faber 2,2014.02.01,12,/fightcenter/events/20975-ufc-169-jones-vs-teixeira
424,UFC on FOX 10,Henderson vs. Thomson,2014.01.25,11,/fightcenter/events/21248-ufc-on-fox-10
