,event,name,date,bouts,link
737,UFC The Final Chapter,Ortiz vs Shamrock 3,2006.10.10,9,/fightcenter/events/ufc-the-final-chapter-ortiz-vs-shamrock-3
738,UFC 63,Hughes vs Penn,2006.09.23,9,/fightcenter/events/ufc-63-hughes-vs-penn
739,UFC 62,Liddell vs Sobral,2006.08.26,9,/fightcenter/events/ufc-62-liddell-vs-sobral
740,UFC Fight Night 6,Sanchez vs Parisyan,2006.08.17,9,/fightcenter/events/ufc-fight-night-6-sanchez-vs-parisyan
741,UFC 61,Bitter Rivals,2006.07.08,9,/fightcenter/events/ufc-61-bitter-rivals
742,UFC Fight Night 5,Leben vs. Silva,2006.06.28,9,/fightcenter/events/ufc-fight-night-5-leben-vs-silva
754,UFC 60,Hughes vs Gracie,2006.05.27,9,/fightcenter/events/ufc-60-hughes-vs-gracie
756,UFC 59,Reality Check,2006.04.15,9,/fightcenter/events/ufc-59-reality-check
758,UFC Fight Night 4,,2006.04.06,9,/fightcenter/events/ufc-fight-night-4
759,UFC 58,USA vs Canada,2006.03.04,8,/fightcenter/events/ufc-58-usa-vs-canada
768,UFC 57,Liddell vs. Couture 3,2006.02.04,9,/fightcenter/events/ufc-57-liddell-vs-couture-3
774,UFC Fight Night 3,,2006.01.16,8,/fightcenter/events/ufc-fight-night-3
776,UFC 56,Full Force,2005.11.19,8,/fightcenter/events/ufc-56-full-force
779,UFC 55,Fury,2005.10.07,8,/fightcenter/events/ufc-55-fury
781,UFC Fight Night 2,,2005.10.03,7,/fightcenter/events/ufc-fight-night-2
782,UFC 54,Boiling Point,2005.08.20,8,/fightcenter/events/ufc-54-boiling-point
783,UFC Fight Night 1,,2005.08.06,8,/fightcenter/events/ufc-fight-night-1
794,UFC 53,Heavy Hitters,2005.06.04,8,/fightcenter/events/ufc-53-heavy-hitters
795,UFC 52,Couture vs. Liddell 2,2005.04.16,8,/fightcenter/events/ufc-52-couture-vs-liddell-2
797,UFC 51,Super Saturday,2005.02.05,9,/fightcenter/events/ufc-51-super-saturday
803,UFC 50,The War of '04,2004.10.22,7,/fightcenter/events/ufc-50-the-war-of-04
809,UFC 49,Unfinished Business,2004.08.21,8,/fightcenter/events/ufc-49-unfinished-business
810,UFC 48,Payback,2004.06.19,8,/fightcenter/events/ufc-48-payback
811,UFC 47,It's On!,2004.04.02,8,/fightcenter/events/ufc-47-its-on
812,UFC 46,Supernatural,2004.01.31,8,/fightcenter/events/ufc-46-supernatural
813,UFC 45,Revolution,2003.11.21,8,/fightcenter/events/ufc-45-revolution
814,UFC 44,Undisputed,2003.09.26,9,/fightcenter/events/ufc-44-undisputed
815,UFC 43,Meltdown,2003.06.06,8,/fightcenter/events/ufc-43-meltdown
816,UFC 42,Sudden Impact,2003.04.25,8,/fightcenter/events/ufc-42-sudden-impact
817,UFC 41,Onslaught,2003.02.28,8,/fightcenter/events/ufc-41-onslaught
818,UFC 40,Vendetta,2002.11.22,8,/fightcenter/events/ufc-40-vendetta
819,UFC 39,The Warriors Return,2002.09.27,8,/fightcenter/events/ufc-39-the-warriors-return
820,UFC 38,Brawl at the Hall,2002.07.13,7,/fightcenter/events/ufc-38-brawl-at-the-hall
821,UFC 37.5,As Real As It Gets,2002.06.22,6,/fightcenter/events/ufc-375-as-real-as-it-gets
822,UFC 37,High Impact,2002.05.10,8,/fightcenter/events/ufc-37-high-impact
823,UFC 36,Worlds Collide,2002.03.22,8,/fightcenter/events/ufc-36-worlds-collide
824,UFC 35,Throwdown,2002.01.11,8,/fightcenter/events/ufc-35-throwdown
825,UFC 34,High Voltage,2001.11.02,8,/fightcenter/events/ufc-34-high-voltage
826,UFC 33,Victory in Vegas,2001.09.28,8,/fightcenter/events/ufc-33-victory-in-vegas
827,UFC 32,Showdown in the Meadowlands,2001.06.29,8,/fightcenter/events/ufc-32-showdown-in-the-meadowlands
828,UFC 31,Locked and Loaded,2001.05.04,8,/fightcenter/events/ufc-31-locked-and-loaded
829,UFC 30,Battle on the Boardwalk,2001.02.23,8,/fightcenter/events/ufc-30-battle-on-the-boardwalk
830,UFC 29,Defense of the Belts,2000.12.16,7,/fightcenter/events/ufc-29-defense-of-the-belts
831,UFC 28,High Stakes,2000.11.17,7,/fightcenter/events/ufc-28-high-stakes
832,UFC 27,Ultimate Bad Boyz,2000.09.22,8,/fightcenter/events/ufc-27-ultimate-bad-boyz
833,UFC 26,Ultimate Field of Dreams,2000.06.09,8,/fightcenter/events/ufc-26-ultimate-field-of-dreams
834,UFC 25,Ultimate Japan 3,2000.04.14,6,/fightcenter/events/ufc-25-ultimate-japan-3
835,UFC 24,First Defense,2000.03.10,7,/fightcenter/events/ufc-24-first-defense
836,UFC 23,Ultimate Japan 2,1999.11.19,7,/fightcenter/events/ufc-23-ultimate-japan-2
837,UFC 22,Only One Can be Champion,1999.09.24,8,/fightcenter/events/ufc-22-only-one-can-be-champion
838,UFC 21,Return of the Champions,1999.07.16,8,/fightcenter/events/ufc-21-return-of-the-champions
839,UFC 20,Battle for the Gold,1999.05.07,7,/fightcenter/events/ufc-20-battle-for-the-gold
840,UFC 19,Ultimate Young Guns,1999.03.05,7,/fightcenter/events/ufc-19-ultimate-young-guns
841,UFC 18,The Road to the Heavyweight Title,1999.01.08,7,/fightcenter/events/ufc-18-the-road-to-the-heavyweight-title
842,UFC 17.5,Ultimate Brazil,1998.10.16,8,/fightcenter/events/ufc-175-ultimate-brazil
844,UFC 17,Redemption,1998.05.15,9,/fightcenter/events/ufc-17-redemption
845,UFC 16,Battle in the Bayou,1998.03.13,8,/fightcenter/events/ufc-16-battle-in-the-bayou
846,UFC 15.5,Ultimate Japan,1997.12.21,7,/fightcenter/events/ufc-155-ultimate-japan
847,UFC 15,Collision Course,1997.10.17,7,/fightcenter/events/ufc-15-collision-course
848,UFC 14,Showdown,1997.07.27,9,/fightcenter/events/ufc-14-showdown
849,UFC 13,Ultimate Force,1997.05.30,9,/fightcenter/events/ufc-13-ultimate-force
850,UFC 12,Judgement Day,1997.02.07,9,/fightcenter/events/ufc-12-judgement-day
851,UFC 11.5,Ultimate Ultimate 1996,1996.12.07,10,/fightcenter/events/ufc-115-ultimate-ultimate-1996
852,UFC 11,The Proving Ground,1996.09.20,8,/fightcenter/events/ufc-11-the-proving-ground
853,UFC 10,The Tournament,1996.07.12,9,/fightcenter/events/ufc-10-the-tournament
854,UFC 9,Motor City Madness,1996.05.17,7,/fightcenter/events/ufc-9-motor-city-madness
855,UFC 8,David vs Goliath,1996.02.16,9,/fightcenter/events/ufc-8-david-vs-goliath
856,UFC 7.5,Ultimate Ultimate 1995,1995.12.16,9,/fightcenter/events/ufc-75-ultimate-ultimate-1995
857,UFC 7,The Brawl in Buffalo,1995.09.08,11,/fightcenter/events/ufc-7-the-brawl-in-buffalo
858,UFC 6,Clash of the Titans,1995.07.14,10,/fightcenter/events/ufc-6-clash-of-the-titans
859,UFC 5,Return of the Beast,1995.04.07,10,/fightcenter/events/ufc-5-return-of-the-beast
860,UFC 4,Revenge of the Warriors,1994.12.16,10,/fightcenter/events/ufc-4-revenge-of-the-warriors
861,UFC 3,The American Dream,1994.09.09,6,/fightcenter/events/ufc-3-the-american-dream
862,UFC 2,No Way Out,1994.03.11,15,/fightcenter/events/ufc-2-no-way-out
863,UFC 1,The Beginning,1993.11.12,8,/fightcenter/events/ufc-1-the-beginning
